,occurence
Books (N Y Herald Tribune) pig N,1
~ Tribune>,1
-I NY World pllm Mr,1
-i- Books (N Y Herald Tribune),1
hn,1
",N Y Evening Post plOm Ap",1
-; Sat R of Lit,1
• i Springf'd Republican,1
Boston Transcript pi Je I,1
r- Books (N Y Herald Tribune) pi Mr,1
Book Week pio Ap,1
Sprlngf'd Republican ptd Ja,1
"A' W+BAm""apol Scl R",1
I Times [London] Lit Sup p-lSO Je,1
Times [London] Lit Sup >>'.:.,1
"DIVINE, ARTHUR D. Fire in the ice.",1
-f- Books jiS Jl,1
r Manchester Guardian,1
• i Books,1
Manchester Guardian pG Ap,1
j. N Y Times,1
-\ NY Times pll Ja,1
Cleveland Open Shelf j.l,1
Books id Mr,1
-I J Pol Econ,1
"faithfully, all too faithfully, set down."" H. M. J. h Sat R of Lit",1
Sprfngf d Republican,1
•I- Manchester Guardian,1
Tim«,1
"of authentic prison stuff."" A. H. MacC. f- Sat R of Lit",1
ing' Klrkut,1
i Yale R n s,1
NY Times p? Je,1
-(-NY Tlmei plO N,1
-i Spec 159:sup46 N,1
Christian Science Monitor plO .Ta,1
-I Yale R n s 27:vlil summer,1
•\ Spec,1
-) Books pll My,1
y Times [London] Lit Sup,1
"that no one can like."" R. M. Gay Atlantic O",1
N Y Tkn«s,1
"particularly exciting."" Louis Kronenberger h N Y Times",1
Atlantic As,1
-' Manchester Guardian,1
"has a pleasant quality."" F. T. Marsh h N Y Times",1
h Yale R n s 28:xil winter,1
"rather than to her Intentions."" L. A. Sat R of Lit",1
Books piC. O,1
Book Week pin Jl,1
Wts Lib Bui,1
Weekly Book Review pIG S,1
Yale R n s 33:vill spring,1
..tu~ Natlon and Ath,1
Books (N T Herald Tribune) pi Ap,1
more dash and spirit.,1
Books (N Y Herald Tribune) pie S,1
Bookm G9:xxvl My,1
Bookm 70:xxli N,1
Hfe,1
-t N Y Times,1
Bookm 69:xxlx Jl,1
.NY Times,1
Bookm 70:xvi D,1
"rially ^""^""i^f^l^ N",1
"tl0""-""+ M Y Timei",1
j- Hist Outlook,1
N Y Tirnei,1
-\ NY World pllm F,1
"Just for the excitement on the way."" N Y Times",1
"sensational or the stereotyped."" h Sat R of Lit",1
Bookm 7<l:xxiv S,1
Bookm 70:xxiv S,1
"""+ Boston Transcript",1
ed v,1
Nation and Ath 46:sup228 N,1
"that It Is hopelessly, horribly dull."" h N Y Times",1
"of his company to personal loyalty."" Boston",1
"* [Londonl Llt S""P",1
"yet. as a novel, it is a disappointment."" h Spec",1
"behind the depressing picture It presents."" f- Bookm",1
"not an artist and his book is greatly overrated."" h New Statesman 33:supx My",1
Bookm 70:xxxil N,1
h N Y Evening Post pllm My,1
"personality of the Japanese."" J. W.",1
lace N Y Evening Post,1
of Kiang Kang-hu.,1
Bookm 70:xvi N,1
quite satisfy. T|mM pM Q,1
"Heral° Trlbu""e)",1
Boiton Tranicrlpt,1
"dry, on the other to make It exquisite."" h N Y World pllm D",1
Cleveland Open Shelf pHS N,1
u New Statesman,1
.Books (N Y Herald Tribune),1
—. Boston Transcript,1
World plOm O,1
Bookm 68:xxiv Ja,1
SpringTd Republican,1
. New Statesman,1
-!- Nation and Ath,1
Outlook I.ri3:«(i9,1
N Y Evening Port pllm D,1
N Y World pile Ja,1
•-; Boston Transcript,1
~t Nation,1
Times [London] Lit Sup plOOS N,1
Bookm 68:6S8 F,1
New Statesman 33:7S1 O,1
"a whole it fails completely."" L. p Hartlev h Sat R",1
Times [London] Lit Sup pCCS S,1
_i_ ^ Y Evening Post plim AP,1
-; Books (N Y Herald Tribune) plO My,1
"too gauntly through his effort."" C. K. H. Boston Transcript pS Ja",1
(- N Y World pllm Mr,1
!• Boston Transcript,1
"work is monumental and that Is all."" Eugene",1
No Am 227:adv Ja,1
f- Boston. Transcript,1
Boo km 69:xxvi Ag,1
end-4- Sat R of Lit,1
-j- N Y Evening Post pllm N,1
i- Bookm,1
boston Transcript,1
Boston Transcript pDe Jl,1
",N Y World pllm N",1
"COIN' home, and other plays of the",1
test.,1
r- N Y Evening Post,1
-NY Times plU My,1
-j- N Y World pllm Ap,1
to the Erie Canal of the,1
-f- N Y Evening Post plOrn F,1
ing and their environment in,1
Spr inijfd Republican plO S,1
-T'0m®8 [London] Lit Sup,1
"Ellis Roberts, and others.",1
NY Times pi S S,1
ment of the contemporary issue. E. b. Bates Sat R of Lit,1
NY Evening Post pgm My,1
I Books (N Y Herald Tribune) pi Ag-,1
who live in the,1
"modern allegory of The Coming Country."" j- Boston Transcript",1
"usual candor and intense earnestness."" N Y World pllm Mr",1
'-)-'_ Books (N Y Herald Tribune),1
"low by Inexpert use of familiar trappings."" h Sat R of Lit",1
-•- Sprlngf'd Republican,1
-) Boston Transcript pi Ap,1
' Outlook,1
Pub W 97:60-4 F,1
gl-OSprlngf'd Republican plla Mr,1
-~ N Y Times,1
N Y Times 25:1in An,1
"and, Hoston Transcript pi Ja",1
Springf'd Republican piia N,1
~ Bookm,1
+—$prlngf'd Republican,1
N Y Tlmco,1
ss=ss1 s,1
Books (N Y Herald Tribune) plO JI,1
-I NY Tlmet plO Ag,1
N Y Evanlng Post,1
In “W [ ] Sup,1
The Times London th,1
Snec,1
-+- New Statesman &. Nation,1
+-~ Nation,1
'+ World Tomorrow,1
Forum <IO:viii N,1
Springf'd Republican plila. Ja,1
Boston Transcript MI,1
—l— N Y Tlmes,1
—l— Outlook,1
Bostoti transcript pi O,1
' +'— New Repub,1
Y Evening Post,1
"of the poet as well as the novelist."" \V.",1
N Y TimES,1
: Books plO O,1
Nation llizsurﬁ‘li l) S,1
modern research.,1
No Am 236:2S6 S,1
Forum 90:vii O,1
Ath pilil S,1
Boston Transcript nS D i,1
-i-8 Springf'd Republican,1
Springf'd Republican pSa Ja,1
Cath World lllleul Ag 'Qll limw',1
ern).,1
Forum 90:vll Jl,1
N Y Times p« N,1
Dial 68:bi4 My,1
Bookman,1
e mes [London Lit Su,1
Spec 151:sup716 N,1
T968prlngf'd Republican,1
+—Bookllst,1
~+Outlook,1
4605prlngf’d Republican,1
Springf’d Republican plla Ag,1
"Ind ll.l‘_"":I-li""",1
-) NY Times plO Jl,1
Springf’d Republican pl'la Mr T,1
"-l,- Outlook",1
'_ Ath,1
Springf’d Republican plla .ll,1
Wis Lib Bul liizlill‘. N,1
Natlon 110:sup488 Ap,1
-—- Grinnell R,1
+~ Sprian’d Republican plia,1
—— Cath World,1
Nation 110zsup483 Ap,1
back.,1
'+ Cleveland,1
tooswlngf'd Republican pila Jl,1
Nation 1i2zss' .la ill,1
',1
—~ Boston Transcript,1
GOSpringf’d Republican,1
-_ Nation,1
.+ Boston Transcript,1
Y Tlmos,1
"and let it go at that."" B. R. Redman (- Sat R of Lit",1
toosmlngf’d Republican,1
New Statesman & Nation 6:sup592 N,1
-—— N Y Times pi!) N H,1
tsgprlan'd Republican pila S,1
Economist 117:sup26 D,1
Mathiewa. il,1
Times [ LondonJ Lit Sup,1
Bookm 52:34:! Ja,1
—— Ind iii-3:323 S,1
-Springf'd Republican plla .Ie,1
Yate R n s,1
acts.,1
iiisgiirlngf'd Republican,1
’— Bookllst 17:1?»8 Ja,1
-—- The Time: [London] Lit Sup,1
Books pi I S,1
_ Springf'd Republican pin i),1
"POSs'Ia'sGATE, R. W. Bolshevik theory.",1
.) Christian Science Monitor,1
"Bookm,52:260 N",1
-i- N Y Evening Post,1
-I Books plO N,1
N Y Times pit) Je,1
EOSprlngf’d Republican,1
Wis Lib Bul 16:13.53,1
N Y Tlmcs,1
Books pll D n,1
—-£>The Times [London] Lit Sup,1
' +' Boston Transcript,1
+—§prlngf'd Republican pila Ag,1
+—1908prlngf’d Republican pile Ag,1
+—Am Hist R 25:52:) Ap,1
+~—Bookllst,1
The Times [LOndon Lit Sup,1
-i- Bookm,1
~78Twme* [London] Lit Sup,1
The Times London th Su,1
-i- Books pg Mr,1
Springf’d Republican pRs. S,1
N Y Times 25:30!) Je,1
N Y Evenlno Post pll D,1
p+ New Repub,1
Springf'd Republican piia O,1
has Nation,1
Bookllst 16:34.7 Ii,1
green hill far away.’ Part,1
Bookilct,1
N Y Tlmos,1
+HBookilst,1
Cleveland Open Shelf pie D,1
"sages that are arid and horesome."" W. T. W. Cath World",1
——- The Times [London] Lit Sup,1
pale.”—-The Times [London] Lit Sup F,1
'J- N Y Times,1
~l- Booklist,1
"authoress's lack of complete self-projection."" h Sat R of Lit",1
Springf'd Republican Mn. N,1
-l— N Y Times,1
. New Statesman & Nation,1
~— Ath,1
New Statesman & Nation 4:sup594 N,1
Cleveland p'i'f) Ag,1
Natlon 110zsup488 Ap,1
~ Boston Transcript,1
Beaten Transcript,1
"enough figure to hold us."" F. T. Marsh N Y Times",1
Current Hist 39:vll Ja,1
-I • Sat R,1
"nesses have on the whole betrayed him."" Nation",1
"and editorializing and parenthesis."" E. D. Sat R of Lit",1
Current Hist 3S:iv Je,1
UNSEEN doctor.,1
forms her whole,1
Springf'd Republican pita My,1
Evening Post between,1
+OTOSprlngf'd Republican pila Je,1
-—- Spec,1
-—~ N Y Times,1
-I NY Times pG O,1
EOSprlngf'd Republican pllfl. Je,1
+—14gprlngf'd Republican plla. Ji,1
—N Y Times,1
+~Revlew,1
Sprian’d Republican,1
c at R,1
I-l- Eoston Transcript,1
he Tlmes [London] LIt Sup,1
Y Tlmes,1
—_ Boston Transcript,1
—l———Booklist,1
-—— N Y Times,1
-| Books pll F,1
-j- Books pS Ja,1
Springf'd Republican pila D,1
Alexander Trachtenberg. (v,1
school of social science,1
Socialist R,1
Wis Lib iBul,1
—-+ N Y Times,1
No Am 235:viil Ap,1
-+- Review,1
Boston Transcript p-i Je,1
——~ N Y Times,1
—;)Springf’d Republican plla,1
H The Times [London] Lit Sup,1
studies) pa,1
Am Hist R 26:33!) Ja,1
Spec sup,1
+-—Bookllst,1
+—Bookm,1
Nation 111:sup668 D,1
—~ Bookiist,1
—— Springf'd Republican,1
-'r- N Y Tlmes,1
Bookllst 16:20?) Mr,1
BOGtOn Transcript,1
"simply set it down too literally."" h Nation",1
~ Cath World,1
industry.,1
Y Time:,1
e,1
~ Christian Science Monitor,1
Cleveland Open Shelf p-lo Mr,1
-| Snr mgf'd Republican,1
+-Forum,1
"""""""I''+ Nation",1
Sprmgf d Republican plO S,1
Chicago Daily Tribune PlO S,1
"philosophical falseness."" F. T. Marsh h Books",1
"doesn't make sense."" Burton Rascoe h- Nation",1
-—— Boston Transcript,1
-~ Review,1
Boston Transcript .pi Ap,1
Cath World 112:6.“ F,1
N Y vening Post,1
Spec 125:2.80 Ag,1
Springf’d Republican i-fia. N ll,1
Springf'd Republlcan plla My,1
Times [London] Lit Sup N,1
—— Natlon,1
—~ Spec,1
BQORIIst,1
Springf’d Renubficrn,1
Pub W 97:12th Ap,1
Sat R 130:7.) Jl,1
gr The Times [London] Lit Sup,1
Cleveland Open Shelf pll N,1
Books I'S Mr,1
300Spr-lngf’d Republican plla Ag,1
Ath plOl8 O,1
Spi ingfd Republican,1
"St°"" Books",1
author,1
• NY Times,1
-I Forum 92:vii S,1
Girl heroines in ﬁction. il,1
New Statesman & Nation S:G95 N,1
-j Sprlngf'd Republican pTe O,1
ter; but its characters fail to achieve life,1
Book* pi Mr,1
Forum 91:vii Ap,1
"studied and humanitarian gesture."" O. C. F. \- New Repub",1
-;- Springfd Republican,1
t- Books,1
"into two good short stories."" F. T. Marsh h N Y Times",1
N Y Timfcs,1
"sive.—as indeed it rather frequently is."" h Cath World",1
"large portion of the book seem unreal."" (- N Y Times",1
"is a sincere but inept performance."" A. C. B h Sat R of Lit",1
| Books (N Y Herald Tribune),1
Macmillan,1
"Books (,N Y Herald Tribune)",1
N Y Evening Post p?m Je,1
Boo kin 70:xxxiv O,1
Bookm 69:xxvl Ag,1
"""Here's an A No.",1
New Statesman & Nation G:S14 D,1
Books pi! S,1
"it. But I believe he can do it."" W. R. Benet h Sat R of Lit",1
"conventional romance of a very tawdry kind."" h N Y Times",1
"the reader pretty cold."" Louis Kronenberger h N Y Times",1
Sprlngf'd Republican pTe N,1
Boston Tran»crlpt,1
. Books plO D,1
Times [London] L» Sup,1
; Boston Transcript pi Ap,1
Times [London] L<t Sup,1
No Am 2:i7:474 My,1
N Y Post pll Mr,1
"approach it with too high hopes."" J. A. f- Boston Transcript",1
"ten with knowledge and verve."" B. D. Sat R of Lit",1
O1<LStSUat' R of Lit,1
Christian Science Monitor plG Jl,1
Times [London] Lit Sup plSG Mr,1
Books -p!4 Mr,1
-• New Statesman & Nation,1
./ Christian Century,1
"benefited by a good deal of compression."" h Sat R of Lit",1
"erence collections."" Subscription Bks Bui",1
L“: D,1
l'loy in-rocs in ﬁction. il,1
Bookm 52:25!) N,1
Nation lilzsup409 O,1
_- Nation,1
+—3005prlngf’d Republican plla S,1
—— Bookllst,1
h Ath pSlU I),1
"'""' NY Times",1
No Am 237:1S5 F,1
N Y Times pl,1
Forum 90:vil O,1
Springf’d Republican plla I),1
Springf’d Republican plla,1
BOOkIlst,1
"Boston Transcript pt; I"" ll",1
+—Nation 110zsup~188 Ap,1
+-—-N Y Cali,1
Sprlngf d Republican pTe U,1
~— Boston Transcript,1
450$prlngf'd Republican,1
Sprlngf'd Republican plla Jl,1
' _ The Times [London] th Sup,1
‘SS Yale univ. press,1
Springf'd Republican pfla O,1
Bookm 51:56.5,1
»~ -_ Boston Transcrlpt,1
Boston ranscript,1
—The Times [London] Lit Sup,1
f- Forum,1
Boston'Transcript,1
pec,1
(- N Y Times pll Ag,1
’Springf'd Republican,1
Pub W 98:11.93,1
Springf'd Republlcan pl'la Jl,1
"the two he has not been altogether happy."" \- N Y Times",1
Boclzlist,1
+~ The Times [London] Lit Sup,1
-+— Wis Lib Bul,1
Nation 110:2i0 F,1
y Springf'd Republican,1
N Y Times 25:21!) My,1
BOokllst,1
-—Sprlngf'd Republican plla Mr,1
Book* plO Ap,1
jéoSprlngf'd Republican pilla Ap,1
Bcston Transcript,1
-i -NY Times,1
Grinneli R,1
Yale R n s 23:xli autumn,1
"mediocre."" L.",1
lishing Company an date from,1
Yale R n s 23:vill winter,1
is Y Lavenmg Post,1
Cleveland Open Shelf plS D,1
git-Jogprlngf’d Republican,1
Bookliat,1
'+ 'Bomn Transcript,1
+--Natlon,1
Boston,1
-l— Grinnell R,1
WSpi-ingf’d Republican plla Mr T,1
gpringf'd Republican plla Ag,1
Yale R n s 23:viii winter,1
-_ Dial,1
"-l,- Boston Transcript",1
+-Boston Transcript,1
—i— Sat R,1
R of Rs 62:13:33 S,1
Books plfi O,1
Grinncll R,1
Am Hlst R,1
EOSPringf'd Republican plla My,1
Books pi Aj?,1
Bookllst 16:3I-i .le,1
"""|\I iii i T l ""A u ‘ | l \.",1
' -» New Pct)th,1
Forum 89:vii My,1
Survey 44:38?» .Ie,1
+£7gprlan'd Republican,1
—— Pub W 97:17:; Ja,1
—— Springf'd Republican plla My,1
' +'_ 'Freeman,1
-i— Review,1
Incl,1
Natlon 1l0:T3-.‘0 My,1
NOYES. ALFRED. Collected poems. v,1
Cleveland p'ii Ag,1
Springf'd Republican plla Ag,1
by its members.,1
"all, is what 'The Auction' boils down to."" N Y Times",1
"-,- Books",1
Manchester Guardian sup xlll D,1
tgpringf'd Republican,1
Atlantic O Ml,1
NY Evening Post pllm N,1
Times [London] Lit Sup.p452 Je S,1
Yale R n s S0:vil spring,1
Yale R n s 31:xll winter,1
+• Christian Science Monitor plO Ap,1
N Y World Telegram,1
--; .Books (N Y Herald Tribune),1
Bookm 70:xxvl D,1
Bookm 6D:xx Je,1
Boo km 69:xxiv Ap,1
"own private hell."" Iris Barry h Books",1
-| Bookm 69:xxiv Ap,1
°eV+r -Crimes [London] Lit Sup,1
'—'NY Evening Post,1
Bookm 63:xxx Ap,1
Yale R n s 31:xiv autumn Ml,1
Bookm G9:xxiv Je,1
Yale R n s 30:viii summer,1
"Time- ""London] Lit Sup",1
h Books plO S,1
Books plC My,1
"""+ Sat R of Lit",1
N Y World pllra Ap,1
-H Christian Century,1
press,1
"HAYNES, RENEE. Neapolitan ice.",1
_ Nation,1
"thing that made life worth living, their faith.1' H Cath World",1
Times [London] Lit Sup pll3 Mr,1
Times [London]] Lit Sup,1
I- Nation and Ath,1
Bookm 68:xxvi Ja,1
~ Spec,1
"~Z«Xl!""e* [London] Lit Sup",1
Bookm 70:xxl S,1
Books (N Y Herald Tribune) plT Je,1
-f- Christian Science Monitor pis S,1
Yale R ns 31:xvi autumn,1
+'Books,1
■i New Repub,1
NY Times pg D,1
Book* (N Y Herald Tribune) i,1
-r Nation,1
Bookm 69:xxiv Ag,1
shifts the latitude of love from,1
-| NY Evening Post pllm Mr,1
Bookrri 69:xxv My,1
-\ Time* [Londonj Lit Sup,1
N Y Evening Post plOra Mr,1
"world in which she moved."" Alvin Adey Current Hist",1
-H Nation,1
Sprlngfrd Republican,1
Books (N Y Herald Tribune) pie Ap,1
"subtlety and power."" Clifton Fadiman h New Yorker",1
■i Sat R of Lit,1
-) Books plO Mr,1
Yale R n s 30:xii summer,1
N X World pllm D,1
Times [London] Lit Sup plOO F,1
■f Sat R of Lit,1
NY Evening Post plOm O,1
-| Books plS Ag,1
Spec 142:sup585 Ap,1
Bookin 69:xxvi My,1
-\ Booklist,1
tan bk.,1
(- New Repub 57:2SO Ja,1
Will CuPP>'okls (N Y Herald Tribune),1
"logist's tenacity, virtually wrung it dry."" (- Time",1
-| Boston Transcript pi Mr,1
Books (N Y Herald Tr'Mine),1
Bookm 70:rxx O,1
Yale R n a 31:vill winter,1
N Y Tlmas,1
Llbrsry J,1
Yale R n a 30:xli summer,1
N Y Times pT Jl,1
Boo km 69:xxiv Je,1
Boston Transcript pll Ja,1
-j NY Time*,1
Books plQ Ap,1
"with 'Monsieur Beaucaire.'"" H. M. Jones h Sat R of Lit",1
"India admiration, pity, despair informs every-",1
Yale R n s 31:xii autumn,1
Cleveland Open Shelf plB6 D,1
"from insignificant or uninteresting."" Iris Barry h Books",1
-NY Evening Post plOm Ap,1
"are too plentifully peppered with italics."" h Bookm 70:xxx O",1
Yale R n s 30:xiv autumn,1
"hundreds of years, is missing."" A. T. Eaton h N Y Times plO Ja",1
"plot creaklngs; and there is too much prose."" New Repub",1
-) Books plO D,1
r- New Statesman,1
Yale R n.s 31:xvi autumn,1
Times (Londonl Lit Sup,1
__ Cleveland Open Shelf,1
NY World Dllm F,1
"own clumsiness, persists."" L. P. Hartley Sat R",1
'—'New Repub,1
-r- N Y Tinres,1
Boston'Transcript pi S,1
Sat R of Lll,1
Set R of Lit,1
"rescue her from the treadmill."" h Bookm 69:xxii Je",1
-\ Poetry,1
T N Y Times,1
"is not vet at ease In this form."" (. N Y Times",1
Books pi P,1
-I Boston Transcript pll Ja,1
NY Evening Post plOm Ap fi,1
NY Times pi F,1
New Vorker,1
: Books (N Y Herald Tribune) plO D,1
•v Sprlngf'd Republican plO Je,1
"In If you can't afford to settle down In Paris."" h N Y Times",1
-t Manchester Guardian,1
•• Library J,1
"a much better job if he had felt so inclined."" Sat R of Lit",1
-| Christian Science Monitor pll Ap,1
+' Time,1
■ Nation,1
"tains nothing but lemonade."" Marianne Hauser N Y Times",1
"is difficult to explain."" Robert Llttell Yale R n s 30:xiv summer",1
-i- Outlook,1
Boo km 70:xxx O,1
-| Bookm 70:xxli N,1
NY Evening Post pi Om Mr,1
Atlantic N Ml,1
Christian Century 58:1G10 D,1
'+ Churchman,1
Boston transcript plO N,1
•+- Sprlng'd Republican,1
-I Atlantic Je,1
B°°ks ON Y Herald Tribune),1
-\ NY Evening Post,1
Yale R n s 30:xii spring,1
New Repub 105:8C9 D,1
"or Implicit standards."" Basil Davenport r Sat R of Lit",1
!• Times [London] Lit Sup,1
Bookm 70:xxxi O,1
day. Doran,1
"destiny of all Frenchmen."" Clifton Fadiman New Yorker",1
"[and] his own relatives."" J. C. Cort h Commonweal",1
Books (N Y Herald-Tribune),1
"author's invention presently runs dry."" H Sat R",1
'—'+ New Statesman,1
-) Atlantic O,1
"many times before."" Carson McCullers h Sat R of Lit",1
School <£ Society,1
Books (N Y Herald Tribune) pH N,1
Book.ri,1
Books Dll S,1
~jT0Times (London] Lit Sup,1
Sat R of Lit 24:36.D,1
Haas.,1
Manchester Guardian pS D,1
r- Nation and Ath,1
Current Hist A Forum,1
-) Books plO F,1
NY Times pi Ap,1
N Y Timet pT Jl,1
-( Manchester Guardian,1
N Y Evening Post pllm O,1
i- New Repub,1
"acters are too vague to be satisfactory."" h N Y Times",1
Bookm 70:xxix O,1
Books p« O,1
Bookm 69:viii Mr,1
-| Boston Transcript plO N,1
Bookm 69:xxvi Mr,1
"Mr. Smith nowhere."" Alfred Kazin h Books plO S",1
"should have been written at all."" p. Outlook",1
\- Current Hist,1
of strangeness and the pathos,1
New Statesman.33:160 My,1
"with the logical disorder of free association."" Nation",1
-i NY World pllm My,1
Yale R n s 30:xli summer,1
"of the trader cities."" Garrett Mattlngly (- Sat R of Lit",1
Bookm 70:xxxlli O,1
Yale R n s 30:xil spring,1
-j- Springf d Republican,1
Bookm G9:xxvi Ag,1
Bookm 70:xxli O,1
I Outlook,1
N Y Herald Tr'bune),1
f- Times (.London] Lit Sup,1
"En""kiti 69:xxv Ag",1
Bookm 69:xxlv Ap,1
Books (N Y Herald Tribune) pi Ja,1
Books (N Y Herald Tribune) plO J],1
"He-man and the Open spaces."" P. H. B. New Repub",1
•: Books (N Y Herald Tribune),1
Bookm B9:xxvi Mr,1
N Y Evening Post pCm Ag,1
•+- Times [London] Lit Sup,1
"skill of Helen Boylston."" Maude Adams \- Library J",1
—i Times [London] Lit Sup,1
*- Times [London] Lit Sup,1
. Books plO N,1
Yale R ns 31:xil autumn,1
"the macabre but there are sixty-odd, and that",1
pages and,1
Books (N Y Herald Tribune) p« O,1
"wise pleasant enough, piece of trade goods."" h Sat R of Lit",1
Books plO My IS,1
-I Portland Evening News plO O IB,1
•j Boston Transcript,1
Bookni i;ii:xxvi Ag,1
There are,1
Nation and Ath 4'6:sup226 N,1
"~t,7Lmei [L°nd°n] Lit Sup",1
-| No Am 227:adv Mr,1
N Y Timem,1
Pater+nBooks (N Y Herald Tribune),1
-I Books pll O,1
N Y Tlimes,1
•H- N Y Times,1
ind 117:io8 Jl,1
"is frequently lost in the technical color."" New Yorker",1
earn anything from,1
h Bookm 70:xxiii S,1
NY Tlmeg pg My,1
"titious; living characters bloodless. No gimp."" h Sat R of Lit",1
".,,B9°k» (N Y Herald Tribune)",1
"adventurings and 'voyage out in dreams.' ""h N Y Times",1
N Y Evening Post pSm Ja,1
•- Books (N Y Herald Tribune),1
Books (N Y Herald) pll Jl,1
)- Boston Transcript,1
( Atlantic's Bookshelf,1
-t- Sat R,1
h Sprlngf'd Repubican,1
Lit R pi Ag,1
"tion and execution, as does a social revolution."" (- N Y Times",1
"yet to produce."" W. J. Gold h Books plO Ap",1
• h Nation,1
Int Bk R pSOO Ap,1
"pleasantly readable padding."" E. C. Beckwith N Y World pllm O",1
Books (N Y Herald Tribune) plO As,1
Lit R pS My S,1
.„■ Wis Li* Bui,1
soaked with rain and,1
Spec 143:sup683 N,1
Books (N Y Herald Tribune) plS Ja,1
-I Portland Evening News plO O,1
"Book* (,N Y Herald Tribune)",1
Sprfngf'd Republican,1
+■ Nation,1
■\ Springf'd Republican,1
N Y World pllm Mr SI,1
"""-r; N Y Times",1
", Survey",1
Lit Bk R,1
Int Bk R p-iS5 Jl,1
Boo km 69:xxll Je,1
[- New Statesman,1
.Nation 128:sup482 Ap,1
Cleveland Op«n Shelf,1
"the author."" J.",1
-r- School R,1
Books (N Y Hera/Id Tribune) pi Ag,1
Nation 123:sup614 D,1
• • Sprlngf'd Republican,1
Cleveland Open Shelf 'p!26 S,1
"the new season."" Herschel Brickell h N Y Times",1
t Christian Science Monitor,1
NY Times pG S,1
and paves the way for the happiness that is,1
(- N Y Evening Post pllm Mr,1
.+. _ Books (N Y Herald Tribune),1
Boston Transcript plfl N,1
New Repub 48:supl62 S,1
N Y Evenlna Post,1
World plO Ap,1
Sprlngf'd Republican p'f S,1
vincing. Boston Trangcript,1
tastes/- S.^ R ^^ Mr,1
Bulletin,1
-j- Books (N Y Herald Tribune),1
"a""Ly+ Boston Transcript plO My",1
8y+e— N'Y Times,1
-J,1
.) Nation,1
Booktn 70:±xxiv O,1
Booki (N Y Herald Tribune) plO D,1
-|T _ N Y World pllm Mr,1
"ter."" I*aBej0£a\e™YnHera.d Tribune) pi Mr",1
\- Books (N Y Herald Tribune),1
Tay_l°r+ spec,1
Bookni 69:xxlv Ag,1
Bookm 6!):xxvi Je,1
Bookm 69:xxx Mr,1
•+ Bookm 29:xxiv Je,1
Yale R n s 31:viii winter,1
My,1
Boston Transcript po Ja,1
Viking press,1
•+• Books (N Y Herald Tribune) plO Je,1
"this unpromising vehicle affords."" h N Y Times",1
i- Books (N Y Herald Tribune),1
Tlmem [London] Lit Sup,1
N Y Evening Post pGm Jl,1
"ship between reader and character."" h N Y Times",1
Bookm 69:xxlv My,1
"ful or moving transcript of real life."" h Sat R of Lit",1
"-, Springf'd Republican",1
* N Y Times,1
Bookm 70:xxli S,1
Lit R pg My,1
Bookm 70:xxxill O,1
"• ~""en [London] Lit Sup",1
"certain sense of disappointment it gives."" h Bookm",1
Bookm 59:xxv Ag,1
*,1
-[- Books (N Y Herald Tribune),1
"sory- , Book, (N Y Herald Tribune) plO My",1
"""* n°+dBo.tBoP;fTran.DcVip; ^Mr",1
Book* (N Y Herald Tribune) plO Mr,1
tN Y Times,1
tasy rather than a novel and that not without,1
-i . Books (N Y Herald Tribune),1
h N Y World pllm D,1
-j- Ind,1
Times [London Lit Sup,1
SprlnQf'd Republican,1
:- Sat R of Lit,1
age to A.D.,1
"be about next with his devilish learning."" r- Boston Transcript",1
"erns."" N Y Times",1
h N Y World pllm N,1
h Timei [London] Lit Sup,1
Bookm 70:xxxll N,1
Sprlngf'd .Republican,1
-) Books (N Y Herald Tribune) pi Jl,1
•- Sprinyf'd Republican,1
Books <N Y Herald Tribune),1
: Books (N Y Herald Tribune) plO Ap,1
and morals In the year,1
Outlook 1B2:5»1 Ag,1
New State«man,1
"peculiar intensity and force.""",1
Times [London] Lit Sup pens O,1
N Y Evening Port plOm Ap,1
Bookm 69:xxlii Ag,1
Wf« Lib Bui,1
:• Boston Transcript pi Ap,1
Nation 128:sup480 Ap,1
Cleveland Opon Shelf,1
"Springf'd Republican p""f N",1
• -| NY Times,1
\- Times [London] Lit Sup plOO F,1
Books (N Y Herald Trbune),1
-t- Book* (N Y Herald Tribune),1
Boo km <;.i:.\\iii Ag,1
New Statesman 2G:.suj>xxlv D,1
New Mexico in,1
-) NY Evening Post pllm My,1
in England in,1
"have produced some good yarns."" W. R. Brooks Outlook",1
-| NY World pllm My,1
World plOm Ap,1
•} Springf'd Republican,1
Spec H2:sup475 Mr,1
"in youth which is the beginning of adolescence."" New Statesman",1
-| ■ Books,1
•■ Sat R of Lit,1
(- Canadian Forum,1
-} Klrkus,1
emper. T|meg ^London-| Llt Sup,1
•\ NY Times,1
Times [London] Lit Sup plGl S,1
Book Week pG Ap,1
Boston Globe pis Jl,1
Boston Globe jil'.l N,1
Kir-kus,1
I- New Yorker,1
Weekly Book Review pig My,1
Book Week pS O,1
N Y Evening Post plOm Mr'2,1
"years ago is, however, rather cozlly done."" h New Yorker",1
Boston Globe plfi N,1
-I NY Tlm»»,1
"some of this author's earlier Western yarns."" h N Y Times",1
!- New Repub,1
", Spiingfd Republican pTe My",1
-i- Chicago Dally Tribune,1
• Forum,1
"has mistaken her medium."" Elizabeth Hart )- Books",1
'+\pringfd Republican,1
Manchester Guardian pS Je,1
Weekly Book Review plU Ap,1
Yale R n a 33:xlv spring,1
