volume_author,review_author,aRatio,trunc_volumetitle,volume_title,trunc_revtitle,review_title,tRatio,original_tRaio,volume_year,review_year,docid,rownum
"paul, elliot","paul, elliot h.",89,indelible;,indelible;,indelible.,indelible.,88,90,1922.0,1922,uc2.ark+=13960=t3dz0397n,3283
"barnes, djuna","barnes, djuna.",96,nightwood ,"nightwood the original version and related drafts djuna barnes ; edited, and with an introduction by cheryl j. plumb.",nightwood.,nightwood.,88,90,1995.0,1937,mdp.39015031832176,3693
"gilbert, morris","gilbert, morris.",97,lido lady ,lido lady by morris gilbert.,lido lady.,lido lady.,88,90,1931.0,1931,osu.32435005369137,561
"fergusson, harvey","fergusson, harvey.",97,"wolf song, by har","wolf song, by harvey fergusson.",wolf song.,wolf song.,88,90,1927.0,1927,uc1.$b244258,5233
"coolidge, grace","coolidge, grace.",97,tepee nei,tepee neighbors by grace coolidge.,teepee neighbors.,teepee neighbors.,88,88,1917.0,1918,nyp.33433081681201,660
"lincoln, joseph crosby","lincoln, joseph crosby.",98,"head tide, by joseph ","head tide, by joseph c. lincoln.",head tide.,head tide.,88,90,1932.0,1932,mdp.39015014283074,1332
"streeter, edward","streeter, edward.",97,father of the bride; ill,father of the bride; illus. by gluyas williams.,father of the bride; 11.,father of the bride; 11.,88,88,1949.0,1949,mdp.39015012250489,5257
"prouty, olive higgins","prouty, mrs olive (higgins).",86,"lisa vale,","lisa vale, by olive higgins prouty.",lisa vale.,lisa vale.,88,90,1938.0,1938,mdp.39015063947157,1356
"hesse, hermann","hesse, hermann.",97,steppenwolf. translated from t,steppenwolf. translated from the german by basil creighton.,steppenwolf; tr.,steppenwolf; tr.,88,88,1929.0,1929,inu.32000009374010,5528
"browne, porter emerson","browne, porter emerson.",98,someone and somebody by ,someone and somebody by porter emerson browne ; illustrated by clarence f. underwood.,"someone and somebody, il","someone and somebody, il",88,88,1917.0,1917,nyp.33433074815303,1864
"lewis, sinclair","lewis, sinclair.",97,dodsworth a,dodsworth a novel by sinclair lewis.,dodsworth.,dodsworth.,88,90,1929.0,1929,uc1.b4091425,1578
"kelsey, alice geer","kelsey, mrs alice (geer).",84,racing the red sail alic,racing the red sail alice geer kelsey ; illustrated by dorothy bayley morse and robert bayley.,racing the red sail; il.,racing the red sail; il.,88,88,1947.0,1947,mdp.39076002197106,5259
"webster, henry kitchell","webster, henry kitchell.",98,innocents a nove,the innocents a novel by henry kitchell webster.,innocents.,the innocents.,88,90,1924.0,1924,uc1.$b802367,527
"holstius, edward","holstius, edward.",97,"gold dust,","gold dust, by edward holstius.",gold dust.,gold dust.,88,90,1929.0,1929,mdp.39015063932118,449
"green, henry",green. henry.,88,blindne,blindness a novel by henry green.,blindness.,blindness.,88,90,1926.0,1926,uc1.b4938160,4052
"lewis, sinclair","lewis, sinclair.",97,"dodsworth, ","dodsworth, a novel by sinclair lewis.",dodsworth.,dodsworth.,88,90,1929.0,1929,mdp.39015048880846,1578
"richards, laura elizabeth howe","richards, mrs laura elizabeth (howe).",90,a daugh,"a daughter of jehu, by laura e. richards.",daughter of jehu.,daughter of jehu.,88,88,1918.0,1918,nyp.33433043320435,924
"silone, ignazio","silone, ignazio.",97,fontamara.,fontamara.,fontamara;,fontamara; tr.,88,90,1938.0,1934,mdp.39015076846669,127
"housman, laurence","housman, laurence.",97,uncle tomm pudd.,uncle tomm pudd.,"uncle tom pudd, ","uncle tom pudd, biographical romance.",88,88,1959.0,1928,pst.000006681135,2136
"kieve, rudolph s","kieve, rudolph s.",97,sorcerers ,the sorcerers rudolph kieve.,sorcerers.,sorcerers.,88,90,1949.0,1949,uc1.$b56866,671
"beerbohm, max, sir","beerbohm, max.",81,seven men and,seven men and two others.,seven men.,seven men.,88,90,1950.0,1920,mdp.39015040765474,1934
"huch, ricarda octavia","huch, frau ricarda octavia.",88,"eros invincible,","eros invincible,",bros invincible;,bros invincible; tr.,88,88,1931.0,1931,mdp.39015063015526,3672
"paludan, jacob","paludan, jacob.",97,"birds around the light, by ","birds around the light, by jacob paludan, translated from the danish by grace isabel colbron.",birds around the light; tr.,birds around the light; tr.,88,85,1928.0,1928,mdp.39015030376100,665
"wassermann, jakob","wassermann, jacob.",91,"faber, or, the lost y","faber, or, the lost years, by jacob wassermann; authorized translation by harry hansen.","faber, or.","faber, or.",88,90,1925.0,1925,uc1.b3267332,1471
"vergani, orio","vergani, orio.",96,poor nigger. tra,poor nigger. translated from the italian by w.w. hobson.,poor nigger; tr.,poor nigger; tr.,88,88,1930.0,1930,uc1.$b733733,64
"larsen, nella","larsen, nella.",96,quicksan,"quicksand, by nella larsen.",quicksand.,quicksand.,88,90,1928.0,1928,mdp.39015054061430,2866
"amado, jorge","amado, jorge.",96,violent land. tra,the violent land. translated from the portuguese (terras do sem fim) by samuel putnam. with a new foreword by the author.,violent land; tr.,the violent land; tr.,88,88,1965.0,1945,mdp.39015005533354,1320
"adams, samuel hopkins","adams, samuel hopkins.",98,from a bench in ou,from a bench in our square.,from si bench 2 in our squa,from si bench 2 in our square.,88,85,1922.0,1922,mdp.39015059385990,133
"young, e. h. (emily hilda)","young, emily hilda.",80,"miss mole, by e. h","miss mole, by e. h. young.",miss mole.,miss mole.,88,90,1930.0,1930,mdp.39015063976685,5368
"phillpotts, eden","phillpotts, eden.",97,"stormbury, by ed","stormbury, by eden phillpotts.",stormbury.,stormbury.,88,90,1931.0,1932,mdp.39015059406291,4506
"vorse, mary heaton","vorse, mary marvin (heaton).",78,"ninth man,","the ninth man, a story by mary heaton vorse; with illustrations by frank craig.",ninth man.,ninth man.,88,90,1920.0,1920,mdp.39015016768312,1139
"milburn, george","milburn, george.",97,catalogue; a novel,catalogue; a novel [by]george milburn.,catalogue.,catalogue.,88,90,1936.0,1936,mdp.39015010526013,2752
"mckowan, evah","mckowan, evah.",96,"graydon of the windermere, by","graydon of the windermere, by evah mckowan ...",graydon of the \vinder’ mere.,graydon of the \vinder’ mere.,88,83,1920.0,1920,nyp.33433076025455,1154
"vogel, joseph","vogel, joseph.",96,"straw hat,","the straw hat, a novel by joseph vogel.",straw hat.,the straw hat.,88,90,1940.0,1940,uc1.$b63863,3697
"sabatini, rafael","sabatini, rafael.",97,lost king,"the lost king, by rafael sabatini.",lost king.,the lost king.,88,90,1937.0,1937,uc1.b4088950,3394
"abzug, martin","abzug, martin.",96,spearhead by martin abzug.,spearhead by martin abzug.,spearhead.,spearhead.,88,90,1946.0,1946,uc1.$b86193,1227
"vercel, roger","vercel, roger.",96,easter fleet tran,the easter fleet translated from the french by katharine woods.,easter fleet; tr.,easter fleet; tr.,88,88,1950.0,1950,uc1.$b152238,2700
"manners-sutton, d. (doris)","manners-sutton, doris.",88,black god;,"black god; a story of the congo, by d. manners-sutton.",black god.,black god.,88,90,1934.0,1934,uc1.$b101734,2835
"komroff, manuel","komroff, manuel.",97,magic bow; a ,the magic bow; a romance of paganini.,magic bow.,magic bow.,88,90,1940.0,1940,mdp.39076006088392,590
"paul, elliot","paul, elliot h.",89,impromptu; a n,"impromptu; a novel in four movements,",impromptu.,impromptu.,88,90,1923.0,1923,mdp.39015048712304,3208
"marshall, archibald","marshall, archibald.",97,"big peter, by","big peter, by archibald marshall.",big peter.,big peter.,88,90,1922.0,1922,mdp.39015009055990,1352
"macleod, della campbell","macleod, della.",74,a lantern of love ,a lantern of love a novel in three parts by della macleod.,lantern of love.,lantern of love.,88,88,1921.0,1921,nyp.33433076025372,2102
"lynn, margaret","lynn, margaret.",97,"free soil, by margar","free soil, by margaret lynn.",free soil.,free soil.,88,90,1920.0,1920,nyp.33433076075658,445
"held, john","held, john, jr.",80,a bowl of,"a bowl of cherries, by john held, jr., with illustrations by the author.",bowl of cherries.,bowl of cherries.,88,88,1932.0,1932,uc1.$b243136,4271
"young, francis brett","young, francis brett.",98,"woodsmoke, by francis brett yo","woodsmoke, by francis brett young.",woodsmoke.,woodsmoke.,88,90,1924.0,1924,uc1.$b244307,696
"poole, ernest","poole, ernest.",96,"avalanche,","the avalanche, by ernest poole.",avalanche.,avalanche.,88,90,1924.0,1924,uc1.$b298770,728
"powys, theodore francis","powys, theodore francis.",98,"mark only,","mark only,",mark only.,mark only.,88,90,1924.0,1924,mdp.39015002711482,1024
"harrison, cuthbert woodville","harrison, cuthbert woodville.",98,"magic of malaya,","the magic of malaya,",magic * of malay,magic * of malaya.,88,88,1916.0,1916,mdp.39015058524805,53
"asch, sholem","asch, shalom.",80,east rive,"east river, a novel. translation by a. h. gross.",east river; a novel; tr.,east river; a novel; tr.,88,88,1946.0,1946,uc1.b4357916,1488
"pascal, ernest","pascal, ernest.",97,"dark swan,","the dark swan, by ernest pascal.",dark swan.,dark swan.,88,90,1924.0,1924,uc1.$b56194,3133
"proust, marcel","proust, marcel.",97,within a budding grove by marc,"within a budding grove by marcel proust, translated by c. k. scott moncrieff.",within a budding grove: tr.,within a budding grove: tr.,88,85,1922.0,1924,yul.12249800_002_00,1236
"blythe, samuel george","blythe, samuel george.",98,a western warwick by samuel g.,a western warwick by samuel g. blythe ...,western warwick.,western warwick.,88,88,1916.0,1916,nyp.33433076066574,2141
"jones, idwal","jones, idwal.",96,vermilion ,vermilion [by] idwal jones.,vermilion.,vermilion.,88,90,1947.0,1947,uc1.32106002119383,4271
"burnham, clara louise","burnham, mrs. clara louise (root).",76,instead of the thor,instead of the thorn a novel by clara louise burnham.,"instead of the thorn, il","instead of the thorn, il",88,88,1916.0,1916,nyp.33433074848320,947
"brooke, jocelyn","brooke, jocelyn.",97,scapegoat ,the scapegoat jocelyn brooke.,scapegoat.,the scapegoat.,88,90,1949.0,1950,inu.32000001373853,1815
"mundy, talbot","mundy, talbot.",96,full moon by t,full moon by talbot mundy.,full moon.,full moon.,88,90,1935.0,1935,mdp.39015046411024,2288
"mann, thomas","mann, thomas.",96,"young joseph, translated from ","young joseph, translated from the german for the first time by h. t. lowe-porter.",young joseph; tr.,young joseph; tr.,88,88,1935.0,1935,uc1.32106010008610,1639
"van keuren, floyd","van keuren, floyd.",97,open door[,the open door[by] floyd van keuren.,open door.,open door.,88,90,1942.0,1942,wu.89099240772,3764
"buchan, john",buchan. john.,88,midwinter john ,midwinter john buchan.,midwinter.,midwinter.,88,90,1940.0,1923,uc1.b3810834,2600
"putnam, nina (wilcox), mrs","putnam, mrs nina (wilcox).",81,it pays to s,it pays to smile,it pays to = smi,it pays to = smile.,88,88,1920.0,1920,uc2.ark+=13960=t8kd1sj4d,1548
"barretto, larry","barretto, larry.",97,a conqueror ,a conqueror passes [by] larry barretto.,conqueror passes.,conqueror passes.,88,88,1924.0,1924,uc1.$b299649,2971
"richards, laura elizabeth howe",richards. mrs laura elizabeth (howe).,87,in bles,in blessed cyrus by laura e. richards.,tn blessed cyrus.,tn blessed cyrus.,88,88,1921.0,1921,mdp.39015063925534,1846
"taylor, elizabeth","taylor, mrs elizabeth.",87,a wreath of rose,a wreath of roses.,wreath of roses.,wreath of roses.,88,88,1949.0,1949,mdp.39015066061725,1503
"tarkington, booth","tarkington, booth.",97,"midlander, by booth tarkingt","the midlander, by booth tarkington.",midlander.,the midlander.,88,90,1923.0,1924,mdp.39015064415238,1749
"hopkins, william john","hopkins, william john.",98,she blowsl and sparm a,she blowsl and sparm at that !,she blows!,she blows!,88,90,1922.0,1922,uc2.ark+=13960=t7pn92073,2925
"baptist, r. hernekin","baptist, r. hernekin,",98,"wild deer,","wild deer,",wild deer.,wild deer.,88,90,1934.0,1934,uc1.$b800525,2669
"drummond, hamilton","drummond, hamilton.",97,a maker of saint,a maker of saints,maker of saints.,maker of saints.,88,88,1920.0,1920,uc2.ark+=13960=t5z60dw7x,739
"dell, floyd","dell, floyd.",96,moon-calf;,moon-calf;,moon-calf.,moon-calf. ‘8125 knopf 20-19503,88,90,1920.0,1920,uc2.ark+=13960=t7rn31m35,102
"hughes, richard arthur warren","hughes, richard arthur warren.",98,"in hazard,","in hazard, by richard hughes ...",in hazard.,in hazard.,88,90,1938.0,1938,mdp.39015030750395,2219
"sabatini, rafael","sabatini, rafael.",97,banner of,"the banner of the bull; three episodes in the career of cesare borgia, by rafael sabatini.",banner of.,banner of.,88,90,1927.0,1916,mdp.39015002753443,312
"douglas, norman","douglas, norman.",97,they went.,they went.,they wont.,they wont.,88,90,1920.0,1921,mdp.39015030742475,1414
"sinclair, upton","sinclair, upton beall.",81,king coal a novel b,king coal a novel by upton sinclair ; with an introduction by dr. georg brandes.,king coal.,king coal.,88,90,1917.0,1917,nyp.33433076039761,59
"tarkington, booth","tarkington, booth.",97,plutocrat; a novel,the plutocrat; a novel,plutocrat.,the plutocrat.,88,90,1927.0,1926,mdp.39015031304515,454
"riddell, florence","riddell, mrs florence.",87,"wives win, by ","wives win, by florence riddell.",wives win.,wives win.,88,90,1931.0,1932,mdp.39015063948833,3638
"gessner, robert","gessner, robert.",97,"youth is the time, ","youth is the time, by robert gessner.",youth u the time.,youth u the time.,88,88,1945.0,1945,uc1.$b242944,1199
"hendryx, james b. (james beardsley)","hendryx, james beardsley.",80,snowdrift a story of the land ,snowdrift a story of the land of the strong cold by james b. hendryx ...,snowdrift.,snowdrift.,88,90,1922.0,1922,nyp.33433076079726,2886
"wood, clement","wood, clement.",96,nigger a novel b,nigger a novel by clement wood.,nigger; a novel.,nigger; a novel.,88,88,1922.0,1922,mdp.39015063976057,2040
"tallant, robert","tallant, robert.",97,"a state in mimosa,a n","a state in mimosa,a novel.",state in mimosa.,state in mimosa.,88,88,1950.0,1950,wu.89098985666,5777
"rony, george","rony, george.",96,"this, too,","this, too, shall pass away [by] george rony.","this, too.","this, too.",88,90,1945.0,1945,uc1.$b113185,2346
"hawkins, quail","hawkins, quail.",97,"don't run, apple! b","don't run, apple! by quail hawkins. illustratorphyllis cote.",don't run.,don't run.,88,90,1944.0,1944,uc1.b4089083,830
"dorsey, george a. (george amos)","dorsey, george amos.",75,young low ,young low by george a. dorsey.,young low.,young low.,88,90,1917.0,1917,nyp.33433074853627,600
"grant, blanche c. (blanche chloe)","grant, blanche chloe.",74,doña lona,"doña lona, a story of old taos and santa fé, by blanche c. grant.",dona lona.,dona lona.,88,90,1941.0,1941,uc1.$b56719,3864
"white, edward lucas","white, edward lucas.",97,andivius hedulio;,"andivius hedulio; adventures of a roman nobleman in the days of the empire, by edward lucas white ...",andivlus hedulio.,andivlus hedulio.,88,88,1921.0,1921,mdp.39015039396091,2017
"heard, adrian","heard, adrian.",96,"ivory fan,","the ivory fan, by adrian heard.",ivory fan.,ivory fan.,88,90,1921.0,1921,nyp.33433076079619,195
"wiley, hugh","wiley, hugh.",96,lady luck b,lady luck by hugh wiley.,lady luck.,lady luck.,88,90,1921.0,1922,nyp.33433075768121,3006
"romański, andrzej c","romanski, andr2ej korbut.",73,prisoners of the night by a,prisoners of the night by andrew corvin romanski ; translated by walter m. besterman and blair taylor.,prisoners of the night; tr.,prisoners of the night; tr.,88,85,1948.0,1948,uc1.b3770829,2634
"drummond, hamilton","drummond, hamilton.",97,betrayers by ham,the betrayers by hamilton drummond.,betrayers.,betrayers.,88,90,1919.0,1919,nyp.33433074968714,2418
"boyle, kay","boyle, kay.",95,"avalanche, a no","avalanche, a novel by kay boyle.",avalanche.,avalanche.,88,90,1944.0,1944,mdp.39015030846722,49
"hecht, ben","hecht, ben.",95,"gargoyles,","gargoyles,",gargoyles.,gargoyles.,88,90,1922.0,1922,mdp.39015051166422,2689
"havill, edward","havill, edward.",97,big ember ,big ember a novel by edward havill.,big ember.,big ember.,88,90,1947.0,1947,uc1.$b100782,4673
"hamilton, patrick","hamilton, patrick.",97,riverside.,riverside.,riverside ,riverside [eng title: slaves of solitude].,88,90,1947.0,1947,uc1.$b783848,3833
"thomson, edith","thomson, edith.",97,afterglow by ,afterglow by edith thomson.,afterglow.,afterglow.,88,90,1922.0,1922,nyp.33433076081797,885
"burnett, w. r. (william riley)","burnett, william riley.",83,king cole a nov,king cole a novel w.r. burnett.,king cole.,king cole.,88,90,1936.0,1936,uc1.$b87032,3344
"townsend, reginald townsend","townsend, reginald townsend, ed. 2",89,an old-fashioned christm,an old-fashioned christmas a collection of stories full of the cheerful yuletide spirit from country life edited by reginald t. townsend ...,old-fashioned christmas.,old-fashioned christmas.,88,88,1927.0,1927,pst.000005927395,187
"holstius, edward nils","holstius, edward nils.",98,"evergreen,","evergreen, a novel.",evergreen.,evergreen.,88,90,1949.0,1949,uc1.$b102986,800
"hayes, nelson","hayes, nelson.",96,"dildo cay,","dildo cay, by nelson hayes.",dildo cay.,dildo cay.,88,90,1940.0,1940,uc1.$b56636,3877
"walters, raube","walters, raube.",97,"hex woman, by raube wal","the hex woman, by raube walters.",hex woman.,hex woman.,88,90,1931.0,1931,inu.30000118321623,4843
"hichens, robert","hichens, robert smythe.",79,"last time, by robert hichens.","the last time, by robert hichens.",last time.,the last time.,88,90,1924.0,1924,mdp.39015063024932,2294
"gerhardie, william alexander","gerhard), william alexander.",93,polyglots wil,the polyglots william gerhardi.,polyglots.,the polyglots.,88,90,1947.0,1925,mdp.39015003928895,3536
"miers, earl schenck","miers, earl schenck.",97,ivy years ,the ivy years [by] earl schenck miers.,ivy years.,the ivy years.,88,90,1945.0,1945,mdp.39015070507564,3775
"byrd, sigman","byrd, sigman.",96,"redlander,","the redlander, by sigman byrd.",redlander.,the redlander.,88,90,1939.0,1939,uc1.$b323510,3873
"taddei, ezio","taddei, ezio.",96,"pine tree and the mole,","the pine tree and the mole, by ezio taddei, translated by samuel putnam.",pine tree and the mole; tr.,the pine tree and the mole; tr.,88,85,1945.0,1945,uc1.$b161880,2978
"raymond, margaret thomsen","raymond, margaret thomsen.",98,a bend in the roa,"a bend in the road, by margaret thomsen raymond.",bend in the road.,bend in the road.,88,88,1934.0,1934,uc1.$b254618,663
"mauriac, françois","mauriac, francois.",91,unknown sea tran,the unknown sea translated by gerard hopkins.,unknown sea; tr.,unknown sea; tr.,88,88,1948.0,1948,mdp.39015033388193,4384
"harsányi, zsolt","harsanyi, zsolt.",90,through a woman's ,through a woman's eyes by zsolt de harsanyi ; translated by willa and edwin muir.,through a woman's eyes: tr.,through a woman's eyes: tr.,88,85,1940.0,1940,mdp.39015024573456,2012
"bellamann, henry","bellamann, henry.",97,"kings row,","kings row,",kings row.,kings row.,88,90,1940.0,1940,uc1.32106002089198,4621
"widdemer, margaret",widdemer margaret.,94,all the king's ho,"all the king's horses, by margaret widdemer.",all the king's 1 horses.,all the king's 1 horses.,88,88,1930.0,1930,mdp.39015059427172,3290
"hutchinson, r. c. (ray coryton)","hutchinson, ray coryton.",84,testament; a novel.,testament; a novel.,testament.,testament.,88,90,1938.0,1938,uc1.b3347063,4590
"hayne, coe","hayne, coe smith.",74,cry dance;,"cry dance; a novel of the american indian, by coe hayne.",cry dance.,cry dance.,88,90,1939.0,1939,uc1.$b300639,238
"requa, m. l. (mark lawrence)","requa, mark lawrence.",82,grubstake;,"grubstake; a story of early mining days in nevada time--1874, by mark l. requa.",grubstake.,grubstake.,88,90,1933.0,1933,uc1.$b104831,205
"davis, william stearns","davis, william stearns.",98,"whirlwind, an historical roman","the whirlwind, an historical romance; being the story of the french revolution as it was seen by rené de massac, deputy to the national assembly and general of the republic, by william stearns davis.",whirlwind.,whirlwind.,88,90,1929.0,1929,uc1.$b300123,3922
"hichens, robert (robert smythe)","hichens, robert smythe.",81,"last time, and other stories, ","the last time, and other stories, by robert hichens ...",last time.,the last time.,88,90,1923.0,1924,uc1.$b243179,2294
"walpole, hugh, sir","walpole, hugh seymour.",80,cathedral ; a novel ,the cathedral ; a novel by hugh walpole ...,cathedral.,the cathedral.,88,90,1922.0,1922,miun.ahq2342.0001.001,3213
"haedrich, marcel","haedrich, marcel, pseud.",80,"barrack 3,","barrack 3, room 12, by marcel haedrich; translated from the french, with foreword, by katherine woods.",barrack 3.,barrack 3.,88,90,1943.0,1943,wu.89100062298,78
"sabsay, nahum","sabsay, nahum.",96,hurricane ,hurricane by nahum sabsay.,hurricane.,hurricane.,88,90,1931.0,1931,uc1.b3727825,28
"dunsany, edward john moreton drax plunkett, baron","dunsany, edward john moreton drax plunkett, 18th",91,"guerrilla, a novel by l","guerrilla, a novel by lord dunsany.",guerrilla.,guerrilla.,88,90,1944.0,1944,uc1.b4097611,1290
"haig-brown, roderick langmere","haig-brown, roderick lanqmere haig.",88,starbuck valley wint,"starbuck valley winter, by roderick l. haig-brown, illustrated by  charles de feo.",starbuck valley winter; 11.,starbuck valley winter; 11.,88,85,1943.0,1943,uc1.$b117377,120
"smith, thorne","smith, thorne.",96,turnabout [by] thorne smith.,turnabout [by] thorne smith.,turnabout.,turnabout.,88,90,1931.0,1931,inu.30000108896071,3510
"smith, dama margaret","smith, mrs dama margaret.",89,hopi girl.,hopi girl.,hopi girl;,hopi girl; with a foreword by ray lyman wilbur.,88,90,1931.0,1932,uc1.$b63793,3216
"rothermell, fred","rothermell, fred.",97,ghostland ,the ghostland a novel by fred rothermell.,ghostland.,ghostland.,88,90,1940.0,1940,mdp.39015073391164,5112
"terhune, albert payson","terhune, albert payson.",98,gray ,"gray dawn,by albert payson terhune.",gray dawn.,gray dawn.,88,90,1927.0,1927,wu.89099220964,4358
"dreiser, theodore","dreiser, theodore.",97,a gall,a gallery of women theodore dreiser.,gallery of women.,gallery of women.,88,88,1929.0,1929,uc1.b4099828,5995
"tarkington, booth","tarkington, booth.",97,plutocrat by booth tarkingto,the plutocrat by booth tarkington.,plutocrat.,the plutocrat.,88,90,1927.0,1926,pst.000015374950,454
"huxley, aldous","huxley, aldous leonard.",76,"antic hay, by","antic hay, by aldous huxley.",antic hay.,antic hay.,88,90,1923.0,1923,mdp.39015003976340,2738
"barnes, djuna","barnes, djuna.",96,nightwood ,nightwood djuna barnes ; introduction by t.s. eliot.,nightwood.,nightwood.,88,90,1937.0,1937,mdp.39015056245924,3693
"roberts, elizabeth madox","roberts, elizabeth madox.",98,a buried treasure [b,a buried treasure [by] elizabeth madox roberts,buried treasure.,buried treasure.,88,88,1931.0,1931,uc1.b3727789,3131
"walpole, hugh, sir","walpole, hugh seymour.",80,cathedral;,the cathedral;,cathedral.,the cathedral.,88,90,1922.0,1922,uc2.ark+=13960=t3vt1kk0p,3213
"bezzerides, a. i. (albert isaac)","bezzerides, albert isaac.",84,"long haul, by a.","long haul, by a.i. bezzerides.",long haul.,long haul.,88,90,1938.0,1938,uc1.b3346129,1649
"larsen, nella","larsen, nella.",96,quicksan,"quicksand ; and, passing nella larsen ; edited and with an introduction by deborah e. mcdowell.",quicksand.,quicksand.,88,90,1986.0,1928,mdp.39015074265003,2866
"richardson, henry handel, pseud","richardson, henry handel, pseud.",98,way home. wit,the way home. with an introduction by leonie kramer.,way 'home.,the way 'home.,88,90,1946.0,1930,mdp.39015002715384,5848
"railey, julia houston","railey, julia houston.",98,show down ,show down by julia houston railey.,show down.,show down.,88,90,1921.0,1921,nyp.33433076059629,1562
"bodenheim, maxwell","bodenheim, maxwell.",97,"crazy man, by maxwell b","crazy man, by maxwell bodenheim.",crazy man.,crazy man.,88,90,1924.0,1924,mdp.39015030946936,1940
"mirza, youel b. (youel benjamin)","mir2a, youel benjamin.",74,stripling ,stripling by youel b. mirza.,stripling.,stripling.,88,90,1940.0,1940,uc1.$b57073,1500
"o'connor, jack","o'connor, jack.",97,"boom town,","boom town, a novel of the southwestern silver boom by jack o'connor.",boom town.,boom town.,88,90,1938.0,1938,uc1.$b302137,160
"wallace, edgar","wallace, edgar.",97,tam o' the scoots,tam o' the scoots,tarn o' the scoot,tarn o' the scoots.,88,88,1919.0,1919,uc2.ark+=13960=t0xp7770r,1184
"broun, heywood","broun, heywood campbell.",74,sun field by heywood bro,the sun field by heywood broun ...,sun field.,sun field.,88,90,1923.0,1923,njp.32101043049954,1698
"benson, e. f. (edward frederick)","benson, edward frederick.",84,"miss mapp, by e. f","miss mapp, by e. f. benson.",miss mapp.,miss mapp.,88,90,1923.0,1922,njp.32101064787698,3605
"miller, elizabeth york","miller, elizabeth york.",98,blue aura by elizabe,the blue aura by elizabeth york miller ; illustrations by arthur i. keller.,blue aura.,blue aura.,88,90,1917.0,1917,nyp.33433074901848,639
"lundberg, daniel","lundberq, daniel.",91,river rat ,river rat an extravaganza of the 'teens by daniel lundberg.,river rat.,river rat.,88,90,1941.0,1941,uc1.$b56980,4713
"austin, f. britten (frederick britten)","austin, frederick britten.",78,"a saga of the sea, by f. b","a saga of the sea, by f. britten austin.",saga of the sea.,saga of the sea.,88,88,1929.0,1929,uc1.$b299609,2625
"maniates, belle kanaris","maniates, belle kanaris.",98,"amarilly in love, by belle ","amarilly in love, by belle k. maniates; with illustrations by william van dresser.",amarllly in love.,amarllly in love.,88,88,1917.0,1917,nyp.33433076051261,1969
"greene, graham",greene. graham.,90,third man ,the third man and the fallen idol.,third man.,third man.,88,90,1955.0,1950,inu.30000100290034,4533
"hecht, ben","hecht, ben.",95,"erik dorn, by ben hecht","erik dorn, by ben hecht.",erik dorn.,erik dorn.,88,90,1920.0,1921,mdp.39015051166414,1695
"landi, elissa","landi, elissa.",96,pear tree ,the pear tree by elissa landi.,pear tree.,pear tree.,88,90,1944.0,1945,uc1.$b56907,3171
"ramsay, janet","ramsay, janet.",96,"high road, by jan","high road, by janet ramsay.",high road.,high road.,88,90,1924.0,1924,mdp.39015051429499,1591
"stribling, t. s. (thomas sigismund)","stribling, thomas siqismund.",83,"backwater, by t. s. ","backwater, by t. s. stribling.",backwater.,backwater.,88,90,1930.0,1930,mdp.39015031305975,1861
"aufricht-ruda, hans","aufricht-ruda, hans.",97,case for the defendant by h,the case for the defendant by hans aufricht-ruda ; translated by bernard miall ; with an afterword by jacob wassermann.,case for the defendant; tr.,case for the defendant; tr.,88,85,1929.0,1929,mdp.39015064519187,3181
"starrett, vincent","starrett, vincent.",97,blue door.,the blue door.,blue door;,blue door; murdermystery—detection.,88,90,1930.0,1930,mdp.39015028573429,765
"bindloss, harold",bindloss. harold.,91,"dark road, by har","the dark road, by harold bindloss.",dark road.,dark road.,88,90,1927.0,1927,mdp.39015063916384,4814
"beresford, j. d. (john davys)","beresford, john davys.",82,signs and wonder,signs and wonders,signs and 3 wonde,"signs and 3 wonders, fl.75 putnam [r>s golden cockerel press] 22-1458",88,88,1921.0,1921,uc2.ark+=13960=t4vh5rk1x,2163
"liepman, heinz","liepmann, heinz.",93,murder--made in germany; a ,"murder--made in germany; a true story of present-day germany, by heinz liepmann; translated by emile burns.",murder—made in germany; tr.,murder—made in germany; tr.,88,85,1934.0,1934,mdp.39015005282069,5729
"sheean, vincent","sheean, vincent.",97,sanfelice; a novel by v,sanfelice; a novel by vincent sheean.,sanfelice.,sanfelice.,88,90,1936.0,1936,mdp.39015031301933,3870
"masefield, john","masefield, john.",97,a tarpaul,a tarpaulin muster,tarpaulin muster.,tarpaulin muster.,88,88,1919.0,1919,uc2.ark+=13960=t5z60f76b,1808
"mann, thomas","mann, thomas.",96,joseph and his brothers; trans,joseph and his brothers; translated from the german for the first time by h. t. lowe-porter.,joseph and his brothers [v 1.,joseph and his brothers [v 1.,88,83,1939.0,1934,mdp.39015003742627,2735
"marriott, alice lee","marriott, alice l., comp.",77,"winter-telling stories, ill","winter-telling stories, illus. by roland whitehorse.",winler-telling stories; ii.,winler-telling stories; ii.,88,85,1947.0,1947,inu.39000005915231,1539
"boardman, neil s. (neil servis)","boardman, neil s.",71,long home ,the long home by neil s. boardman.,long home.,long home.,88,90,1948.0,1948,wu.89099909186,5198
"grayson, charles","grayson, charles.",97,"show case, ","the show case, by charles grayson.",show case.,show case.,88,90,1936.0,1936,uc1.$b56726,2558
"warner, rex","warner, rex.",96,"professor, by rex warner.","the professor, by rex warner.",professor.,the professor.,88,90,1939.0,1939,mdp.39015031306148,1959
